ID,Filename,Learner ID,Level,Date,Gender,Age,L1,Other L1,Prompt,Subcorpus
144,144.txt,1016,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
145,145.txt,1017,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
146,146.txt,1017,MA 1,18/11/2018,,,Arabic,Hebrew,2,ArCC
147,147.txt,1017,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
148,148.txt,1017,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
149,149.txt,1017,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
150,150.txt,1017,MA 1,06/01/2019,,,Arabic,Hebrew,6,ArCC
151,151.txt,1017,MA 1,13/01/2019,,,Arabic,Hebrew,7,ArCC
152,152.txt,1017,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
153,153.txt,1017,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
154,154.txt,1017,MA 1,19/05/2019,,,Arabic,Hebrew,10,ArCC
155,155.txt,1018,MA 1,18/11/2018,,,Arabic,Hebrew,2,ArCC
156,156.txt,1018,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
157,157.txt,1018,MA 1,02/12/2018,,,Arabic,Hebrew,4,ArCC
158,158.txt,1018,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
159,159.txt,1018,MA 1,06/01/2019,,,Arabic,Hebrew,6,ArCC
160,160.txt,1018,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
161,161.txt,1018,MA 1,02/06/2019,,,Arabic,Hebrew,11,ArCC
162,162.txt,1019,MA 1,21/10/2018,,,Arabic,Hebrew,1,ArCC
163,163.txt,1019,MA 1,18/11/2018,,,Arabic,Hebrew,2,ArCC
164,164.txt,1019,MA 1,25/11/2018,,,Arabic,Hebrew,3,ArCC
165,165.txt,1019,MA 1,09/12/2018,,,Arabic,Hebrew,5,ArCC
166,166.txt,1019,MA 1,06/01/2019,,,Arabic,Hebrew,6,ArCC
167,167.txt,1019,MA 1,13/01/2019,,,Arabic,Hebrew,7,ArCC
168,168.txt,1019,MA 1,24/03/2019,,,Arabic,Hebrew,8,ArCC
169,169.txt,1019,MA 1,31/03/2019,,,Arabic,Hebrew,9,ArCC
170,170.txt,1019,MA 1,19/05/2019,,,Arabic,Hebrew,10,ArCC
171,171.txt,1019,MA 1,02/06/2019,,,Arabic,Hebrew,11,ArCC
172,172.txt,1020,BA 3,01/04/2019,,,Arabic,Hebrew,7,ArCC
173,173.txt,1020,BA 3,27/05/2019,,,Arabic,Hebrew,11,ArCC
